time,Air_Conditioner [kW],Fans [kW],Tubelight [kW],Television [kW],Washing_Machine [kW],Water_Geyser [kW],Mixer_Grinder [kW],Wet_Grinder [kW],Refrigerator [kW],Microwave_Oven [kW],Dishwasher [kW],use [kW],gen [kW],House overall [kW]
2023-10-16,-0.10627580890649636,-1.105759325126547,2.2906361459845836,-0.03765427103679575,0.38569154493310603,2.3667373914948175,0.21864435429180362,1.0593099852855503,1.1907057442080486,3.288260781127593,0.6384001667649419,10.188696709020606,0.5880963879906742,9.600600321029932
2023-10-17,1.8400659266151371,4.68219931522629,0.7784874538325716,1.5438370984283072,0.18209750489819337,0.6568455309574386,1.3523967970243778,-0.49707633232415743,2.6766977052441296,0.8681383473675692,0.0673531005550454,14.151042447824903,0.9161451573856202,13.234897290439283
2023-10-18,0.9079523912586751,1.9913265674421279,1.9090482673012668,0.8373240097399566,0.30702584878405786,0.6867878694919374,0.85657402273975,0.28430199899205466,1.46996074303267,1.1760028553152386,0.4328268777918156,10.85913145188955,0.7343194007927212,10.124812051096828
2023-10-19,0.38260747638486703,5.883463583160636,1.035345542732912,-0.025627472635809445,1.913975424577525,-0.21234203624588333,1.3341983075226045,0.38368665917087297,4.69223723274998,2.0908529126072715,0.6879247222616665,18.166322352286638,0.9583924930577512,17.207929859228887
2023-10-20,0.4154024401061045,3.042216916794181,-0.25153884442988794,2.9260223673018473,0.7540067669930464,1.9384355384292624,1.157619530831468,2.254791662784476,3.4307777575736136,1.0996605619514037,1.501077425318666,18.26847212365418,0.3233761709272499,17.94509595272693
2023-10-21,1.4362697943708032,12.539761898379485,3.4715917635527718,4.053953744551057,2.275648861109909,4.682563924403485,1.8573911938991188,2.647514880295077,7.037627535946762,4.817749997001673,1.40049154368112,46.220565137191265,0.9921698488275967,45.22839528836367
2023-10-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19558694821731706,0.0
2023-10-23,0.8351231686238259,1.289555319795479,3.4562311566955044,2.3146154226969125,1.9686174766544444,1.438973001920352,1.1337359869181538,1.785585121225627,4.733785326944867,2.2098869360853737,1.2208952948890963,22.38700421244964,0.671357751792855,21.715646460656785
2023-10-24,0.18551876032091813,4.394130734821865,3.40091159478332,1.2951136960896186,1.4434037239914361,-0.11289440171464116,0.8116295591365204,2.2476429033012644,4.191178969922007,4.025770391461643,0.9972513631997111,22.87965729531366,0.12042122100027747,22.75923607431338
2023-10-25,0.6104085781528581,2.0801982215808192,-0.4549183178631019,0.8623206433167521,0.846803243303117,1.7141596504717058,0.20338195420889138,1.4496230107733128,2.326367168677959,1.9653107869390443,0.44212045576713854,12.045775395328496,0.7493955940677915,11.296379801260704
